gRNA count,total failure r1 rate,wt at drive peak,drive peak rate,compl r1 at drive peak,part r1 at drive peak,compl r2 at drive peak,part r2 at drive peak,inds with drive at peak,pop at drive peak
1,0.0001,0.5001425,0.4979037,0.001953602,0,0,0,0.9958077,240824.6
2,0.0001,0.5001503,0.49964745,4.90E-05,0.000153134,0,0,0.99929525,241293.7
3,0.0001,0.5000845,0.49982345,1.35E-06,9.07E-05,0,0,0.9996468,240051.25
4,0.0001,0.5000625,0.49987965,6.29E-07,5.73E-05,0,0,0.99975925,238362.35
5,0.0001,0.5000556,0.49989645,8.46E-07,4.69E-05,0,0,0.99979305,236502.8
6,0.0001,0.500045,0.49992085,1.17E-06,3.30E-05,0,0,0.99984135,234543.9
7,0.0001,0.5000447,0.499919,2.90E-06,3.34E-05,0,0,0.9998379,232564.6
8,0.0001,0.50004115,0.49992735,2.82E-06,2.85E-05,0,0,0.99985505,230659.75
9,0.0001,0.50003755,0.49993325,5.36E-06,2.38E-05,0,0,0.9998665,228547
10,0.0001,0.50003595,0.4999388,5.41E-06,2.00E-05,0,0,0.9998775,226626.25
11,0.0001,0.5000349,0.49993785,8.91E-06,1.85E-05,0,0,0.99987555,224569.7
12,0.0001,0.5000333,0.4999388,1.08E-05,1.71E-05,0,0,0.9998777,222570.7
1,0.000316,0.50014135,0.4978713,0.001987381,0,0,0,0.99574265,240844.2
2,0.000316,0.5001421,0.4996408,5.26E-05,0.000164635,0,0,0.99928135,241292.85
3,0.000316,0.5000881,0.49981945,1.98E-06,9.05E-05,0,0,0.99963875,239985.6
4,0.000316,0.5000699,0.49986935,2.20E-06,5.84E-05,0,0,0.99973885,238332.5
5,0.000316,0.50005485,0.49989945,4.12E-06,4.17E-05,0,0,0.9997989,236483.15
6,0.000316,0.5000462,0.49991135,5.33E-06,3.70E-05,0,0,0.99982285,234579
7,0.000316,0.50004745,0.49991445,6.23E-06,3.17E-05,0,0,0.99982905,232613.05
8,0.000316,0.50004075,0.4999213,1.27E-05,2.53E-05,0,0,0.99984255,230590.15
9,0.000316,0.5000411,0.4999185,1.74E-05,2.30E-05,0,0,0.9998371,228561.8
10,0.000316,0.5000367,0.4999253,1.86E-05,1.94E-05,0,0,0.99985055,226587.3
11,0.000316,0.50003465,0.49992225,2.60E-05,1.71E-05,0,0,0.9998445,224671.15
12,0.000316,0.50003645,0.4999151,3.16E-05,1.68E-05,0,0,0.99983045,222631
1,0.001,0.5001493,0.4978881,0.001962684,0,0,0,0.995776,240831.55
2,0.001,0.5001425,0.4996375,5.55E-05,0.000164446,0,0,0.9992751,241261.05
3,0.001,0.50008835,0.4998156,5.62E-06,9.06E-05,0,0,0.9996311,240003.65
4,0.001,0.50006285,0.49987445,7.45E-06,5.52E-05,0,0,0.99974875,238297.65
5,0.001,0.5000574,0.4998874,1.17E-05,4.35E-05,0,0,0.99977475,236515.85
6,0.001,0.500048,0.49989705,1.90E-05,3.59E-05,0,0,0.9997943,234529.85
7,0.001,0.5000438,0.4998944,2.67E-05,3.51E-05,0,0,0.9997889,232588.5
8,0.001,0.5000454,0.4998945,3.37E-05,2.65E-05,0,0,0.999789,230573.75
9,0.001,0.50003875,0.49989145,4.85E-05,2.11E-05,0,0,0.99978315,228629.25
10,0.001,0.50003715,0.49987845,6.49E-05,1.92E-05,0,0,0.99975725,226576.5
11,0.001,0.5000364,0.4998654,7.86E-05,1.96E-05,0,0,0.9997308,224681.8
12,0.001,0.5000384,0.4998439,0.000100364,1.74E-05,0,0,0.99968765,222686
1,0.003162,0.50014735,0.49788425,0.001968359,0,0,0,0.99576865,240897.2
2,0.003162,0.5001477,0.49963925,5.88E-05,0.000154263,0,0,0.99927855,241310.75
3,0.003162,0.50008985,0.4998084,1.60E-05,8.56E-05,0,0,0.9996167,240035.75
4,0.003162,0.50006065,0.49985995,2.42E-05,5.52E-05,0,0,0.99972,238386.7
5,0.003162,0.5000532,0.49986345,3.58E-05,4.74E-05,0,0,0.99972705,236503
6,0.003162,0.5000508,0.49985565,5.94E-05,3.42E-05,0,0,0.99971135,234575.55
7,0.003162,0.50004525,0.4998488,7.77E-05,2.83E-05,0,0,0.9996976,232657.3
8,0.003162,0.5000402,0.49982065,0.00011176,2.73E-05,0,0,0.99964145,230629.15
9,0.003162,0.5000408,0.49979215,0.000147691,1.95E-05,0,0,0.99958445,228687.35
10,0.003162,0.50003805,0.4997471,0.000194005,2.08E-05,0,0,0.99949415,226669.75
11,0.003162,0.50003155,0.49970185,0.000246625,1.99E-05,0,0,0.99940375,224732.5
12,0.003162,0.50003795,0.49963085,0.000314316,1.68E-05,0,0,0.99926185,222789.05
1,0.01,0.5001482,0.49786735,0.001984452,0,0,0,0.9957346,240848.8
2,0.01,0.50014655,0.4996157,7.63E-05,0.000161634,0,0,0.99923115,241287.5
3,0.01,0.50008815,0.49977975,4.59E-05,8.61E-05,0,0,0.9995594,240033.05
4,0.01,0.5000597,0.49980315,7.79E-05,5.94E-05,0,0,0.99960605,238363.65
5,0.01,0.50005145,0.4997846,0.00011902,4.49E-05,0,0,0.99956915,236515.4
6,0.01,0.50004895,0.49974295,0.000174193,3.40E-05,0,0,0.9994858,234650.35
7,0.01,0.50004155,0.4996649,0.000261196,3.23E-05,0,0,0.9993301,232777.8
8,0.01,0.50004025,0.49958405,0.000345528,3.02E-05,0,0,0.9991679,230807.25
9,0.01,0.50003715,0.4994637,0.000477607,2.15E-05,0,0,0.9989275,228849.9
10,0.01,0.5000371,0.4993163,0.000627138,1.94E-05,0,0,0.9986327,226859.9
11,0.01,0.50003405,0.49915965,0.000788256,1.81E-05,0,0,0.9983193,224958.2
12,0.01,0.5000343,0.49897255,0.000975193,1.80E-05,0,0,0.99794505,223005.4
